Population,maternal_plant,Family_ID,seeds,label,Date_planted,Germination_date,Time_to_germination,Is.germinated,Row,Column ,Date_flower_start,Days_to_first_flower,Bnr_wdth1.1,Bnr_length1.1,Bnr_wdth1.2,Bnr_length1.2,Bnr_wdth1.3,Bnr_length1.3,Bnr_wdth2.1,Bnr_length2.1,Bnr_wdth2.2,Bnr_length2.2,Bnr_wdth2.3,Bnr_length2.3,Inflor_height1,Inflor_height2,Inflor_height3,Number of flowers_inflorescences 1,Number of flowers_inflorescences 2,Number of inflorescences ,width_leaf1,length_leaf1,heigth_leaf1,width_leaf2,length_leaf2,heigth_leaf2,width_leaf3,length_leaf3,heigth_leaf3,Width_stolon1,Width_stolon2,weigth_flowers+bag,weigth_plant+bag,HCN_Results,Comments_HCN
17,9,7,2,17-7-2,2017-04-26,2017-04-30,4,1,5,27,2017-07-16,77,2.8,4.84,2.69,5.06,2.98,4.9,3.36,5.17,3.28,5.08,3.06,5.44,95.52,78.15,139.6,19,38,12,8.45,10.2,520,10.61,13.72,530,11.06,13.73,370,1.33,1.49,3.528,9.374,0,
12,7,5,2,12-5-2,2017-04-26,2017-05-04,8,1,5,28,2017-07-20,77,2.97,4.96,3.36,5.32,2.77,4.92,3.18,5.77,3.36,6.01,2.49,5.13,,,,57,51,7,8.8,10.2,610,10.25,12.31,590,7.94,9.08,460,1.36,1.26,3.359,9.706,0,
21,13,4,1,21-4-1,2017-04-27,2017-05-02,5,1,5,29,2017-06-29,58,3.89,6.25,3.52,6.74,3.35,6.86,3.36,5.51,3.3,5.65,3.63,5.36,95.19,70.48,76.35,33,21,12,11.85,13.36,460,11.26,12.96,780,10.18,12.09,400,1.43,1.41,4.42,9.106,1,
23,4,7,5,23-7-5,2017-04-27,2017-04-30,3,1,5,30,2017-07-09,70,3.48,5.69,3.85,5.78,3.87,5.8,3.54,6.16,3.55,5.41,3.58,6.06,98.81,104.06,115.52,50,51,5,8.39,9.53,400,7.29,9.35,440,9.66,11.37,470,1.37,1.28,3.798,10.063,0,
13,5,4,1,13-4-1,2017-04-26,2017-04-30,4,1,5,31,2017-06-20,51,3.7,7.64,3.49,7.18,3.51,7.5,3.52,6.74,3.49,6.04,3.61,7.15,30.35,65.65,72.48,18,22,6,10.31,12.85,580,11.65,10.72,460,10.53,11.92,430,1.69,1.3,3.195,8.534,0,
13,14,8,2,13-8-2,2017-04-26,2017-04-30,4,1,5,32,2017-06-25,56,3.32,6.51,3.63,6.23,3.51,5.96,3.34,6.43,3.43,6.46,2.97,6.05,69.1,47.45,51.3,47,37,11,11.87,11.22,380,11.46,13.09,410,10.96,10.26,370,1.53,1.56,3.531,8.243,0,
19,2,1,2,19-1-2,2017-04-27,2017-05-01,4,1,6,1,2017-07-13,73,3.32,2,4.05,7.2,4.28,6.88,3.75,5.95,3.58,5.28,3.35,6.37,119.78,95.18,128.71,70,72,12,7.68,8.81,480,7.27,11.34,450,9.86,13.52,500,1.49,1.4,4.222,10.928,0,
2,7,5,1,2-5-1,2017-04-25,2017-05-05,10,1,6,2,2017-07-07,63,3.64,7.03,3.76,7.33,4.11,7.26,3.6,7.58,3.92,7.48,3.93,7.78,78.35,86.34,79.6,73,83,4,17.85,22.3,940,13.62,17.11,380,12.62,14.77,640,1.97,1.69,3.771,16.598,0,
20,4,1,3,20-1-3,2017-04-27,2017-04-30,3,1,6,3,2017-06-29,60,3.08,6.4,3.64,5.59,3.56,6.66,3.52,6.74,3.49,6.04,3.61,7.15,93.38,83.12,108.98,57,44,31,11.34,13.13,460,12.35,16.04,760,12.24,15.24,430,1.49,1.49,5.77,9.341,1,
27,15,6,2,27-6-2,2017-04-27,2017-04-30,3,1,6,4,2017-06-18,49,3.88,6.8,3.75,6.82,4.33,6.97,3.63,7.09,4,6.49,4.15,6.88,99.55,103.02,78.72,28,43,36,12.05,13.53,680,11.1,12.97,580,10.2,12.95,500,1.41,1.45,6.053,9.903,1,
25,7,5,1,25-5-1,2017-04-27,2017-04-30,3,1,6,5,2017-07-05,66,3.78,6.06,4.15,6.46,3.84,6.38,3.06,5.27,3.22,4.65,3.3,6.05,164.61,186.88,166.87,43,48,30,13.09,15.17,890,15.98,18.12,730,8.88,11.79,800,1.4,1.8,4.759,10.198,0,
18,5,3,5,18-3-5,2017-04-27,2017-05-04,7,1,6,6,2017-06-18,45,3.16,5.88,3.07,6.11,2.75,4.92,3.06,5.27,3.22,4.65,2.87,6.02,73.33,102.04,98.23,61,62,23,7.05,9.36,430,10.9,12.02,510,10.05,11.11,420,1.67,1.35,4.997,6.809,0,
3,8,7,3,3-7-3,2017-04-25,2017-04-30,5,1,6,7,2017-07-06,67,4.47,6.93,3.38,7.53,3.81,6.73,3.53,6.73,3.9,6.56,3.86,6.51,123.13,121.94,117.82,70,71,24,10.62,12.5,400,10.44,12.94,490,8.33,10.24,350,1.41,1.6,5.855,7.826,0,
7,8,3,4,7-3-4,2017-04-26,2017-05-05,9,1,6,8,2017-07-06,62,3.26,5.1,3.11,5.17,3.29,5.49,3.59,6.54,3.29,5.92,3.47,5.55,128.67,118.32,113.8,48,40,20,10.69,10.88,690,9.3,8.55,550,8.96,10.24,540,1.52,1.28,4.371,8.977,1,
6,15,5,4,6-5-4,2017-04-25,2017-05-01,6,1,6,9,2017-07-07,67,3.89,6.54,3.24,6.46,3.08,6.66,3.94,6.34,3.57,6.82,4,6.87,102.09,117.77,113.5,49,51,17,11.24,13.28,630,9.42,11.38,740,11.79,12.91,660,1.08,1.18,4.668,8.247,0,
15,6,4,1,15-4-1,2017-04-26,2017-04-29,3,1,6,10,2017-06-18,50,3.28,5.99,3.62,6.21,3.12,5.77,3.68,6.53,4.17,6.23,3.76,5.9,68.97,74.9,91.89,59,63,17,10.82,12.13,780,8.83,10.5,800,7.4,8.14,700,1.38,1.3,4.202,8.407,0,
2,2,2,5,2-2-5,2017-04-25,2017-04-28,3,1,6,11,2017-06-15,48,3.41,6.81,3.43,6.9,2.98,6.1,3.5,5.57,3.55,6,3.46,6.2,78.9,86.15,66.46,38,43,40,9.44,10.1,500,8.16,10.09,470,5.42,6.84,480,1.49,1.19,5.193,10.36,0,
4,13,2,5,4-2-5,2017-04-25,2017-04-28,3,1,6,12,2017-06-18,51,3.63,5.79,3.31,5.83,3.36,4.83,3.43,5.63,3.67,5.38,3.67,5.58,57.85,36.9,68.65,48,24,50,8.9,11.5,460,9.31,10.9,290,9.64,10.98,340,1.17,1,5.818,9.324,0,
16,5,1,3,16-1-3,2017-04-26,2017-04-30,4,1,6,13,2017-07-06,67,3.27,6.03,3.27,5.55,3.5,5.37,3.4,5.53,3.21,5.7,3.51,6.49,142.74,111.33,154.79,69,75,43,10.44,13.92,550,7.84,9.9,350,7.7,10.58,400,1.2,1.16,5.254,10.074,1,
20,15,4,4,20-4-4,2017-04-27,2017-04-30,3,1,6,14,2017-06-26,57,4.09,7.9,3.4,6.26,4.35,7.86,3.67,7.1,4.02,7.92,3.9,7.46,128.58,97.21,112.73,56,47,34,7.87,9.44,500,9.03,10.81,500,6.54,6.89,620,1.23,1.47,5.477,8.174,1,
23,11,4,4,23-4-4,2017-04-27,2017-05-01,4,1,6,15,2017-06-19,49,3.21,5.12,2.97,4.82,3.03,4.79,3.65,5.88,3.18,5.2,3.51,5.25,96.53,60.28,54.01,28,44,39,7.93,6.76,340,6.36,7.12,230,9.04,11.03,360,0.91,0.97,4.196,8.576,0,
26,5,3,5,26-3-5,2017-04-27,2017-04-30,3,1,6,16,2017-06-22,53,3.54,6.83,3.62,6.54,3.63,6.35,3.03,5.68,3.52,5.92,3.35,5.5,66.37,69.11,62.5,14,17,25,9.3,10.8,410,9.19,11.52,390,10.4,11.86,460,1.39,1.27,4.198,7.698,0,
11,3,4,4,11-4-4,2017-04-26,2017-04-30,4,1,6,17,2017-06-28,59,2.93,5.64,3.19,5.68,2.93,5.8,3.06,5.33,3.13,5.59,3.3,5.7,140.59,161.66,117.66,64,58,52,12.53,11.4,400,9.61,11.44,400,7.88,11.58,450,1.44,1.34,7.209,10.298,1,
9,2,1,1,9-1-1,2017-04-26,2017-05-07,11,1,6,18,2017-07-09,63,2.92,5.49,3.43,5.92,3.7,6.29,3.54,6.39,4.42,6.62,4.52,6.74,47.5,118.49,67.93,35,26,8,11.48,13.84,420,9.86,13.48,400,12.27,14.58,430,1.11,1.31,3.464,8.505,0,
9,14,4,2,9-4-2,2017-04-26,2017-05-01,5,1,6,19,2017-07-06,66,4.05,6.16,3.22,4.77,3.4,4.54,3.25,5.32,3.63,5.56,3.84,5.37,52.44,92.48,95.21,19,45,8,11.2,12.55,450,11.65,13.11,510,11.55,11.86,500,1.68,1.52,3.48,8.241,0,
5,14,4,3,5-4-3,2017-04-25,2017-05-01,6,1,6,20,2017-07-06,66,3.28,6.18,2.98,5.02,2.95,4.95,6.26,5.88,3.34,6.21,3.39,6.23,80.11,62.77,96.67,30,43,15,9.31,11.71,470,9.43,10.76,480,14.1,16.89,600,1.14,1.28,3.738,8.514,0,
21,3,8,1,21-8-1,2017-04-27,2017-05-02,5,1,6,21,,#NUM!,,,,,,,,,,,,,,,,,,0,11.45,11.97,460,12.67,13.94,610,12.28,13.51,450,1.38,1.33,,10.823,0,
25,3,2,1,25-2-1,2017-04-27,2017-05-02,5,1,6,22,2017-06-25,54,3.46,5.93,3.61,5.84,3.56,6.09,3.09,5.47,2.85,5.98,3.21,6.08,82.27,82.51,63.31,54,47,7,13.16,12.54,810,12.32,12.19,600,12.21,13.01,740,1.71,1.94,3.524,6.753,0,
11,14,7,1,11-7-1,2017-04-26,2017-04-30,4,1,6,23,2017-07-07,68,3.36,6.21,4.09,6.11,3.7,6.57,3.4,6.19,3.87,6.61,3.64,6.64,94.98,116.74,109.35,60,57,10,11.85,14.25,520,8.3,9.36,460,10.44,12.46,480,1.36,1.48,4.143,8.653,1,
9,15,8,5,9-8-5,2017-04-26,2017-05-02,6,1,6,24,2017-07-05,64,4.19,7.13,3.98,7.43,3.99,7.19,4.41,7.24,4.39,7.15,3.85,7.09,143.55,136.41,157.49,53,62,26,13.77,12.16,530,12.34,14.66,660,11.24,12.6,620,1.34,1.31,5.299,10.13,0,
6,4,4,2,6-4-2,2017-04-25,2017-05-01,6,1,6,25,2017-06-28,58,4.03,7.13,3.65,6.57,3.75,6.92,3.78,6.76,4.01,6.41,3.56,6.43,106.69,109.18,119.45,61,65,49,8.32,11.04,610,7.49,10.61,600,8.93,12.3,460,1.3,1.25,6.996,9.325,0,
7,11,8,1,7-8-1,2017-04-26,2017-04-30,4,1,6,26,2017-07-05,66,3.92,7.51,3.9,6.6,3.98,7,3.34,5.54,3.3,5.71,3.7,5.3,117.47,181.68,104.31,50,47,19,17.2,16.16,800,13.82,14.68,1150,9.42,11.17,800,1.28,1.67,4.464,10.754,0,
17,4,1,3,17-1-3,2017-04-26,2017-04-29,3,1,6,27,2017-07-03,65,3.46,5.13,3.46,5.43,3.53,5.83,3.93,6.7,3.55,6.74,3.11,5.9,113.1,116.23,131.63,53,57,23,8.57,12.14,580,8.99,12.96,600,9.27,10.99,650,1.69,1.4,4.557,8.324,0,
20,10,7,4,20-7-4,2017-04-27,2017-04-30,3,1,6,28,2017-06-29,60,3.8,6.62,3.62,6.9,3.35,6.1,3.39,6.82,3.63,7.7,3.97,8.04,143.04,163.07,145.89,48,50,39,12.18,13,630,14.15,15.49,500,10.57,12.6,640,1.31,1.26,6.26,10.845,0,
3,7,3,4,3-3-4,2017-04-25,2017-04-29,4,1,6,29,2017-06-28,60,3.5,5.38,3.11,5.34,3.18,5.44,3.03,5.78,3.23,4.98,2.93,5.46,53.12,46.65,56.79,43,39,20,12.06,13.16,180,11.64,13.21,250,8.45,10.24,240,1.39,1.41,3.739,7.667,0,
5,4,8,1,5-8-1,2017-04-25,2017-04-29,4,1,6,30,2017-07-07,69,3.41,6.15,3.52,6.15,3.74,6.48,3.77,6.36,4.03,6.19,3.73,6.19,78.08,73.75,69.74,50,50,14,10.95,14.26,490,12,15.22,330,8.79,11.97,390,1.59,1.34,4.729,9.378,0,
4,15,6,4,4-6-4,2017-04-25,2017-05-01,6,1,6,31,2017-07-09,69,4.15,7.1,3.85,6.38,3.51,7.48,,,,,,,109.68,,,28,,1,8.2,10.03,310,5.95,8.67,390,9.37,10.62,320,1.17,1.11,3.195,10.246,0,
10,5,8,2,10-8-2,2017-04-26,2017-05-04,8,1,6,32,2017-07-16,73,3.15,6.04,3.24,6.42,3.47,6.17,3.43,5.36,3.17,5.95,3.36,6.59,110.45,110.33,95.51,40,36,19,10.62,12.48,440,9.01,10.19,460,8.54,11.14,280,1.37,1.35,3.957,7.554,0,
8,4,5,3,8-5-3,2017-04-26,2017-04-29,3,1,7,1,2017-06-21,53,3.14,6.43,2.28,4.33,2.3,4.36,3.46,7.19,3.66,7.1,3.57,7.15,111.14,103.37,98.94,53,55,68,9.23,11.85,280,9.83,8.82,220,8.83,12.76,530,1.15,1.45,7.758,8.735,0,
11,12,2,3,11-2-3,2017-04-26,2017-04-30,4,1,7,2,2017-07-02,63,3.3,6.02,3.17,6.2,3.7,6.53,3.18,5.1,3.46,5.62,3.31,5.08,96.22,97.36,93.73,63,50,39,13.72,15.78,150,11.34,12.83,160,8.11,10.02,200,1.11,1.1,3.841,9.223,1,
4,4,4,4,4-4-4,2017-04-25,2017-04-29,4,1,7,3,2017-07-05,67,4.12,6.51,3.41,6.63,3.89,6.85,4.03,7.12,3.55,6.71,3.98,6.91,85.21,112.83,86.35,45,41,29,10.06,13.62,310,9.12,10.36,280,11.05,13.34,360,1.47,1.1,4.793,9.365,1,
24,8,2,1,24-2-1,2017-04-27,2017-04-30,3,1,7,4,2017-06-19,50,3.14,6.16,3.01,5.77,3.18,6.33,4.28,6.65,3.76,6.04,3.82,6.73,84.98,83.07,84.29,38,57,34,7.98,9.57,250,10.44,11.48,150,7.47,8.1,200,1.11,1.17,6.202,7.905,0,
16,14,8,3,16-8-3,2017-04-26,2017-04-29,3,1,7,5,2017-06-30,62,3.47,6.21,3.65,5.62,3.65,6.07,3.44,6.33,3.69,6.47,3.32,6.51,131.32,123.52,141.29,80,87,19,16.71,19.15,400,16.83,19.33,350,14.3,18.01,360,1.44,1.59,4.589,10.589,1,
4,15,6,5,4-6-5,2017-04-25,2017-04-28,3,1,7,6,2017-06-23,56,3.9,6.97,4.46,7.23,4.06,7.25,4.18,7.51,4.01,7.61,3.85,6.89,130.46,116.59,130.59,53,49,39,11.35,13.1,170,6.68,7.66,150,8.99,10.79,280,1.37,1.24,6.48,8.999,0,
17,5,5,2,17-5-2,2017-04-26,2017-04-30,4,1,7,7,2017-07-11,72,3.44,5.18,3.65,5.37,2.56,4.84,3.5,6.45,3.9,6.22,3.32,6.07,103.16,67.56,50.13,15,43,30,10.92,14.65,590,11.39,14.67,200,9.2,11.18,300,1.46,1.59,4.948,8.063,0,
21,10,6,3,21-6-3,2017-04-27,2017-05-04,7,1,7,8,2017-07-16,73,3.38,5.52,3.48,6.07,3.56,6.46,3.84,6.02,3.8,5.27,3.4,6.59,86.1,68.2,,47,55,2,13.33,15.41,310,12.4,15.66,340,13.62,15.96,250,2.9,1.59,3.235,12.405,0,
20,15,4,3,20-4-3,2017-04-27,2017-05-02,5,1,7,9,2017-07-07,66,3.01,5.54,4.02,5.6,3.78,5.6,4.27,6.82,4.09,6.62,4.39,6.65,93.96,59.04,94.11,46,44,30,13.02,15.65,490,12.66,15.96,120,12.63,15.27,190,1.37,1.29,5.088,9.756,1,
21,13,4,3,21-4-3,2017-04-27,2017-04-30,3,1,7,10,2017-06-19,50,2.4,3.93,2.8,4.61,2.71,3.92,3.6,4.95,3.67,4.38,3.44,4.48,115.36,107.38,133.03,45,52,25,17.17,18.6,240,13.82,15.82,170,14.24,16.07,180,1.45,1.52,3.899,8.963,0,
9,1,3,2,9-3-2,2017-04-26,2017-05-01,5,1,7,11,2017-07-06,66,3.84,6.18,3.67,5.86,3.62,5.75,4.08,6.61,4.28,6.51,4.23,7.13,85.39,93.67,96.86,75,66,25,13.99,16.62,240,12.73,14.88,450,10.92,13.44,390,1.1,0.65,5.611,7.945,0,
5,15,7,1,5-7-1,2017-04-25,2017-04-28,3,1,7,12,2017-07-05,68,4.82,8.2,4.29,7.96,4.34,7.83,3.85,5.6,3.64,7.34,3.97,7.11,172.65,186.71,112.19,51,46,19,10.85,17.07,220,13.9,16.69,280,12.93,14.71,250,1.9,1.67,5.202,9.687,0,
18,5,3,4,18-3-4,2017-04-27,2017-05-02,5,1,7,13,2017-06-19,48,2.74,5.45,3.29,6.03,3.01,5.92,3.34,6.28,3.51,5.8,3.45,5.72,71.65,100.61,120.15,45,38,6,12.38,14.54,390,14.12,13.43,260,14.6,15.71,340,1.56,1.39,6.017,8.683,1,
8,4,5,4,8-5-4,2017-04-26,2017-05-04,8,1,7,14,2017-07-06,63,3.05,6.63,3.12,6.27,2.77,5.18,3.98,7.44,3.44,6.53,3.86,7.11,90.52,136.02,131.27,41,45,45,14.75,16.67,460,15.4,14.66,360,14.96,15.04,180,1.85,1.61,6.424,7.896,0,
22,8,3,3,22-3-3,2017-04-27,2017-05-01,4,1,7,15,2017-06-26,56,3.79,7.02,3.36,6.71,3.37,5.18,3.12,6.69,3.75,6.06,3.58,6.87,91.48,102.61,126.8,26,24,17,15.12,14.89,280,13.36,12.82,360,15.36,14.32,690,1.32,1.4,4.65,10.265,0,
6,11,3,3,6-3-3,2017-04-25,2017-05-01,6,1,7,16,2017-06-21,51,3.13,5.61,3.09,5.94,3.11,5.44,3.08,5.66,3,5.46,3.9,4.7,92.09,92.11,119,54,68,21,9.55,11.51,310,11.29,12.33,230,14.72,15.52,240,1.24,1.24,5.342,7.789,0,
17,9,7,3,17-7-3,2017-04-26,2017-04-30,4,1,7,17,2017-07-03,64,3.11,4.71,3.11,5.42,3.06,5.25,3.23,5.71,4.02,6.85,3.81,6,106.96,137.44,94.59,42,61,10,14.52,17.74,290,13.8,15.33,310,12.99,15.39,360,1.97,1.59,4.346,10.402,1,
5,11,6,1,5-6-1,2017-04-25,2017-04-29,4,1,7,18,2017-07-09,71,4.15,6.17,3.75,6.38,4.07,6.87,3.91,7.37,3.87,8.32,4.18,7.39,156.23,117.68,84.12,50,52,21,16.15,15.87,290,12.11,13.05,190,16.52,15.33,240,1.21,1.24,4.902,10.623,0,
16,6,3,1,16-3-1,2017-04-26,2017-04-30,4,1,7,19,2017-07-20,81,3.95,5.89,3.95,7.7,3.48,7.53,3.4,6.23,4.24,6.89,4.17,7.08,129.75,110.09,110.14,50,44,6,16.34,18.28,270,16.73,17.21,390,15.58,16.12,530,1.75,1.91,3.429,9.959,1,
13,4,3,1,13-3-1,2017-04-26,2017-05-04,8,1,7,20,2017-07-09,66,3.5,5.32,3.14,5.63,3.16,5.47,3.3,5.9,3.06,4.81,3.71,5.54,47.2,74.35,99.65,43,30,12,12.02,14.69,360,10.89,14.78,420,13.84,14.49,310,1.53,1.72,3.486,7.596,0,
10,8,4,3,10-4-3,2017-04-26,2017-04-29,3,1,7,21,2017-07-05,67,3.95,6.8,3.48,6.25,3,5.99,3.67,6.17,3.9,6.58,3.93,6.82,76.97,120.88,93.8,63,75,34,12.67,13.87,180,12.28,11.92,150,9.99,11.52,130,1.67,1.28,4.595,10.144,0,
12,11,1,4,12-1-4,2017-04-26,2017-04-30,4,1,7,22,2017-06-29,60,3.46,6.31,3.52,6.59,3.36,6.22,3.08,6.46,3.19,6.63,3.63,6.46,80.02,140.65,124.65,41,50,33,15.82,15.61,190,13.14,12.42,190,14,13.8,290,1.85,1.62,4.872,6.507,1,
16,11,5,5,16-5-5,2017-04-26,2017-05-01,5,1,7,23,2017-07-07,67,3.7,6.83,4.11,6.57,4.24,7.03,3.59,7.5,2.96,5.03,3.2,5.48,140,74.14,101.79,35,33,5,12.99,16.06,220,10.73,12.13,170,14.23,15.26,130,1.33,1.2,3.543,9.516,1,
27,2,5,1,27-5-1,2017-04-27,2017-04-30,3,1,7,24,2017-06-19,50,2.84,6.25,3.01,6.2,3.04,6.01,3.73,6.93,3.56,6.28,3.19,6.81,108.41,106.7,106.77,64,51,41,12.03,12.95,210,10.96,15.1,190,12.63,14.25,190,1.41,1.74,5.538,11.961,0,
25,12,6,4,25-6-4,2017-04-27,2017-05-04,7,1,7,25,2017-06-29,56,3.14,6.39,3.43,6.03,3.3,5.79,3.78,5.65,3.81,5.43,3.51,5.46,84.8,88.2,98.34,47,50,7,8.49,10.54,290,9.76,12.34,190,9.29,10.62,400,1.99,1.73,3.414,5.867,1,
26,3,8,5,26-8-5,2017-04-27,2017-04-30,3,1,7,26,2017-06-20,51,2.73,5.61,2.83,5.03,2.53,4.98,3.5,6.09,3.74,6.25,3.73,5.63,89.06,111.8,92.12,36,36,25,13.97,15.39,430,11.66,14.97,380,12.48,14.51,340,1.48,1.41,5.352,8.276,0,
25,12,6,3,25-6-3,2017-04-27,2017-05-04,7,1,7,27,,#NUM!,,,,,,,,,,,,,,,,5,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,3,8,2,21-8-2,2017-04-27,2017-05-02,5,1,7,28,2017-07-07,66,3.38,5.64,3.31,5.83,3.92,5.47,3.44,5.59,3.47,5.57,3.24,5.6,59.5,66.42,76.09,59,41,11,14.34,15.34,410,16.47,16.42,410,14.52,14.26,580,1.94,1.78,3.966,8.135,0,
25,14,8,4,25-8-4,2017-04-27,2017-04-30,3,1,7,29,2017-06-20,51,2.99,4.99,3.17,5.58,3.25,6.21,2.89,4.43,2.27,4.21,2.73,4.27,105.2,107.9,104.13,,,20,11.91,17.16,320,11.41,16.58,390,11.9,16.91,370,1.62,1.42,5.14,8.239,0,
27,2,5,4,27-5-4,2017-04-27,2017-04-30,3,1,7,30,2017-06-21,52,3.3,5.81,3.59,5.61,3.11,5.63,3.13,6.05,3.37,6.42,3.02,6.25,128.74,114.49,165.73,56,62,22,8.92,9.62,120,9.82,10.14,270,9.54,11.86,180,1.32,1.42,5.156,7.447,0,
5,11,6,4,5-6-4,2017-04-25,2017-05-01,6,1,7,31,,#NUM!,,,,,,,,,,,,,,,,,,0,13.23,14.01,350,13.02,13.8,270,10.98,12.88,470,1.46,1.57,,8.563,0,
16,14,8,1,16-8-1,2017-04-26,2017-04-29,3,1,7,32,2017-06-18,50,3.83,7.48,4.14,7.39,3.98,7.21,4.07,8.01,4.83,7.83,4.15,7.59,101.41,138.01,136.49,51,57,16,16.13,16.89,190,13.05,13.83,170,10.2,13.23,190,1.87,1.71,4.667,6.489,1,
7,8,3,1,7-3-1,2017-04-26,2017-05-01,5,1,8,1,2017-07-02,62,3.59,6.6,3.5,6.11,3.44,6.23,3.67,5.4,2.86,5,3.39,4.79,143.14,119.33,140.68,61,68,21,11.78,14.99,220,13.18,16.04,280,12.88,15.78,210,1.22,1.18,5.233,12.76,1,
9,11,6,2,9-6-2,2017-04-26,2017-05-02,6,1,8,2,2017-07-09,68,4.13,6.34,4.51,7.2,4.23,6.62,4.77,7.34,4.19,6.98,4.44,6.48,125.23,107.84,101.36,43,48,13,12.53,14.64,340,13.92,16.9,350,14.92,15.44,680,1.42,1.46,4.293,10.896,0,
22,10,4,5,22-4-5,2017-04-27,2017-04-30,3,1,8,3,2017-07-02,63,3.87,6.13,3.34,5.46,3.92,5.73,3.6,5.74,3.63,5.99,3.86,6.68,111.96,108.83,110.43,37,40,72,15.35,15.88,270,17.2,16.78,190,13.51,13.83,150,1.47,1.3,7.295,10.197,0,
25,10,1,4,25-1-4,2017-04-27,2017-05-02,5,1,8,4,2017-07-09,68,3.15,5.06,2.74,4.61,2.87,5.05,2.04,4.55,3.04,4.54,2.39,4.87,94.27,72.62,62.07,29,17,4,11.39,12.78,180,12.48,13.03,290,11.83,11.64,440,1.98,1.56,3.347,6.489,1,
26,3,8,3,26-8-3,2017-04-27,2017-04-30,3,1,8,5,2017-07-03,64,4.04,7.11,3.96,6.56,3.6,5.58,4.12,3.37,4.04,6.87,3.82,7.13,123.98,121.91,133.76,52,63,36,9.82,14.62,340,10.01,14.47,240,9.96,14.69,180,1.35,1.36,5.954,10.236,0,
8,2,1,1,8-1-1,2017-04-26,2017-04-30,4,1,8,6,,#NUM!,,,,,,,,,,,,,,,,,,0,10.45,9.08,250,11.91,11.99,190,12.37,11.92,180,1.19,1.33,,5.977,0,
14,2,1,2,14-1-2,2017-04-26,2017-05-01,5,1,8,7,2017-06-18,48,3.17,5.47,3.74,5.51,3.61,5.38,3.86,5.79,2.75,5.61,2.97,5.03,117.79,105.75,101.58,54,105,23,14.93,16.31,140,14.48,17.58,160,15.17,16.69,310,1.29,1.37,5.747,7.506,0,
5,14,4,4,5-4-4,2017-04-25,2017-04-29,4,1,8,8,2017-07-07,69,3.31,6.14,3.34,5.85,3.2,6.88,4.43,7.32,4.09,7.59,4.17,6.7,143.33,142.33,124.2,48,48,22,12.95,14.17,140,13.71,15.77,250,14.03,15.74,180,1.34,1.08,4.677,10.448,0,
19,6,3,2,19-3-2,2017-04-27,2017-05-02,5,1,8,9,2017-07-07,66,3.12,6.03,3.54,6.85,3.05,6.03,2.72,6.27,3.2,6.18,3.1,6.01,144.41,126.68,70.23,57,29,8,9.47,11.1,140,9.93,12.4,210,8.25,10.01,220,1.12,1.13,3.599,11.591,0,
12,3,7,2,12-7-2,2017-04-26,2017-04-30,4,1,8,10,2017-06-19,50,3.3,5.11,2.73,5.43,3.01,5.4,3.32,6.57,3.84,6.32,3.39,6.21,45.3,67.01,58.68,31,32,25,12.7,15.07,330,11.46,14.8,120,11.51,15,190,1.59,1.32,4.2711,8.751,0,
7,3,2,5,7-2-5,2017-04-26,2017-05-01,5,1,8,11,2017-07-07,67,4.1,7.11,4.2,6.44,3.93,7.46,3.9,6.71,3.99,7.47,3.98,6.91,109.38,86.25,72.35,46,49,23,13.24,15.4,270,14.36,17.43,430,13.29,15.88,400,1.44,1.41,3.88,11.206,0,
24,13,4,1,24-4-1,2017-04-27,2017-05-01,4,1,8,12,2017-07-05,65,3.33,6.75,3.2,6.23,3.23,6.37,3.36,6.18,3.28,5.31,3.2,6.64,78.43,59.09,60.19,57,66,18,9.6,11.37,220,8.69,10.03,280,11.7,12.19,330,0.92,1.27,4.172,7.047,NA,tissue missing
4,7,8,5,4-8-5,2017-04-25,2017-05-01,6,1,8,13,2017-07-13,73,3.48,6,3.01,5.83,3.03,6.26,2.93,5.98,2.55,6.47,3.12,6.33,65.8,94.41,,25,35,11,9.43,11.53,310,10.11,11.31,230,10.57,12.18,220,1.16,1.23,3.565,9.89,0,
26,1,7,2,26-7-2,2017-04-27,2017-05-01,4,1,8,14,2017-06-20,50,3.63,6.24,3.3,5.92,3.41,6.37,3.93,6.46,3.37,5.95,3.6,5.99,65.13,91.94,89.83,42,42,9,10.37,13.06,320,9,12.81,140,9.44,14.03,360,1.27,1.43,3.507,6.2676,0,
15,6,4,2,15-4-2,2017-04-26,2017-04-30,4,1,8,15,2017-06-19,50,2.86,5.34,3.54,5.52,3.23,5.34,3.78,6.23,3.45,6.25,3.42,6.09,115.94,120.77,114.4,44,50,28,13.83,14.31,190,11.39,13.65,210,14.04,15.34,290,1.16,1.38,5.176,7.589,0,
15,6,4,3,15-4-3,2017-04-26,2017-04-29,3,1,8,16,2017-06-20,52,3.11,4.93,3.68,5.97,3.26,5.24,3.73,6.84,3.69,6.35,3.51,6.3,107.22,85.19,102.4,58,35,17,12.9,15.36,400,12.54,13.53,540,12.86,14.28,380,1.4,1.62,4.911,7.8556,0,
