Population,maternal_plant,Family_ID,seeds,label,Date_planted,Germination_date,Time_to_germination,Is.germinated,Row,Column ,Date_flower_start,Days_to_first_flower,Bnr_wdth1.1,Bnr_length1.1,Bnr_wdth1.2,Bnr_length1.2,Bnr_wdth1.3,Bnr_length1.3,Bnr_wdth2.1,Bnr_length2.1,Bnr_wdth2.2,Bnr_length2.2,Bnr_wdth2.3,Bnr_length2.3,Inflor_height1,Inflor_height2,Inflor_height3,Number of flowers_inflorescences 1,Number of flowers_inflorescences 2,Number of inflorescences ,width_leaf1,length_leaf1,heigth_leaf1,width_leaf2,length_leaf2,heigth_leaf2,width_leaf3,length_leaf3,heigth_leaf3,Width_stolon1,Width_stolon2,weigth_flowers+bag,weigth_plant+bag,HCN_Results,Comments_HCN
4,3,7,2,4-7-2,2017-04-25,2017-04-28,3,1,3,32,2017-06-23,56,3.51,6.75,3.84,7.44,3.5,6.36,3.56,6.66,3.46,6.62,3.52,7.06,90.71,42.13,95.41,35,44,7,15.65,16.9,370,14.54,14.97,380,12,13.9,490,1.44,1.22,3.172,6.637,0,
11,8,3,3,11-3-3,2017-04-26,2017-04-30,4,1,4,1,2017-06-25,56,3.12,6.35,3.09,5.91,3.12,5.45,2.55,5.16,3.13,4.57,2.65,5.57,85.53,86.07,96.6,47,47,35,9.59,10.79,500,9.36,11.85,580,7.48,9.14,570,1.22,1.6,4.883,7.339,0,
23,8,5,5,23-5-5,2017-04-27,2017-05-05,8,1,4,2,2017-07-05,61,3.21,5.03,3.17,4.68,2.89,4.4,3.41,5.18,3.63,4.87,2.9,4.81,63.66,94.25,62.04,22,27,5,7.11,8.94,440,11.15,10.72,500,9.94,11.83,460,1.33,1.35,3.21,6.045,0,
13,1,1,1,13-1-1,2017-04-26,2017-05-01,5,1,4,3,2017-06-24,54,2.8,4.73,2.67,4.82,3.44,5.53,3.08,5.77,3.27,5.64,3.48,5.72,66.52,62.26,63.77,32,30,28,11.87,13.75,480,10.27,12.13,410,10.08,12.2,450,1.34,1.69,4.333,8.154,0,
7,10,6,3,7-6-3,2017-04-26,2017-04-30,4,1,4,4,,#NUM!,,,,,,,,,,,,,,,,,,0,16.3,13.48,1250,14.92,12.81,1140,15.05,13.03,820,1.42,1.81,,8.076,1,
12,6,8,2,12-8-2,2017-04-26,2017-05-01,5,1,4,5,2017-06-18,48,2.9,5.1,3.02,5.84,3.49,4.88,2.96,5.62,3.17,5.61,3.13,5.17,73.5,52.39,69.32,38,32,10,10.08,9.54,500,13.69,13.62,610,11.47,11.55,520,1.46,1.76,3.301,6.366,0,
6,4,4,4,6-4-4,2017-04-25,2017-05-01,6,1,4,6,2017-06-29,59,3.9,6.3,3.5,6.37,3.55,6.01,3.95,6.09,3.13,5.85,3.38,5.87,96.21,110.05,128.62,43,50,31,10.74,12.66,510,11.16,13.1,330,11.58,13.17,320,1.5,1.39,6.258,9.271,0,
20,12,5,4,20-5-4,2017-04-27,2017-04-30,3,1,4,7,2017-07-16,77,3.4,6.65,3.27,7.9,3.37,6.39,3.48,6.13,3.19,5.46,3.14,5.32,71.34,13.83,66.78,16,26,7,10.08,11.86,480,8.72,9.84,510,7.84,11.67,470,1.23,1.48,3.422,7.824,0,
20,9,6,3,20-6-3,2017-04-27,2017-04-30,3,1,4,8,2017-06-26,57,3.1,5.62,3.29,5.11,3.46,5.84,3.37,5.7,3.15,6.06,3.27,5.87,97.28,99.97,97.29,57,66,26,7.56,8.94,470,8.33,10.72,560,7.33,9.42,450,1.17,1.21,5.325,6.815,0,
13,6,5,5,13-5-5,2017-04-26,2017-05-02,6,1,4,9,2017-07-13,72,3.56,5.91,3.37,4.93,3.53,5.62,3.46,6.35,3.77,6.79,3.68,7.05,52.25,48.21,45.29,41,25,9,8.07,10.43,400,8.29,9.78,350,9.72,9.18,340,1.13,1.22,3.541,8.943,0,
26,8,4,2,26-4-2,2017-04-27,2017-05-02,5,1,4,10,2017-07-02,61,3.87,6.92,4.06,6.3,3.8,6.59,3.86,6.73,4.07,6.58,3.72,6.64,133.13,134.83,150.72,63,62,21,9.18,13.43,330,8.59,11.34,360,9.74,12.38,560,1.31,1.28,4.646,7.641,0,
16,5,1,5,16-1-5,2017-04-26,2017-05-04,8,1,4,11,,#NUM!,,,,,,,,,,,,,,,,,,0,9.39,12.67,400,8.89,12.35,310,9.69,13.25,350,1.58,1.69,,8.247,1,
7,10,6,2,7-6-2,2017-04-26,2017-04-30,4,1,4,12,2017-07-02,63,3.41,6.3,3.48,6.75,3.87,6.58,3.69,6.02,3.47,6.99,3.37,5.93,57.65,68.28,98.86,55,61,33,7.26,8.17,600,7.15,10.45,390,10.31,12.42,420,1.3,1.18,4.62,10.534,1,
1,12,8,2,1-8-2,2017-04-25,2017-04-29,4,1,4,13,2017-07-03,65,3.58,6.9,3.76,6.99,4.52,7.27,3.61,6.24,3.49,5.56,3.02,6.28,90.69,112.21,109.03,40,54,27,8.21,11.76,530,10.1,12.21,440,8.53,10.17,790,0.97,1.06,4.72,11.523,0,
1,3,2,1,1-2-1,2017-04-25,2017-05-01,6,1,4,14,2017-07-06,66,3.31,5.3,3.41,5.71,3.64,5.31,4.13,6.68,4.18,6,3.57,6.16,120.57,118.94,128.82,50,47,25,7.64,9.34,540,9.35,11.64,420,10.03,10.66,740,1.25,1.18,5.161,6.631,0,
3,8,7,2,3-7-2,2017-04-25,2017-04-30,5,1,4,15,2017-07-04,65,3.4,5.88,3.38,6.2,3.46,6.44,3.81,7.25,4.13,6.84,3.77,7.16,82.96,132.03,150.26,50,43,14,10.66,11.76,480,11.45,11.1,310,9.21,10.86,410,1.27,1.3,4.211,8.412,0,
20,12,5,2,20-5-2,2017-04-27,2017-04-30,3,1,4,16,2017-07-02,63,3.85,6.4,3.75,6.29,3.95,6.69,3.11,5.21,3.35,5.37,3.52,5.18,129.95,137.43,149.93,56,56,28,8.81,11.49,530,12.08,15.92,380,10.4,11.6,790,1.79,1.41,5.708,10.003,0,
