Date,Population,Num_Inf,Pollinator,Num_Visit,Morph,Observer,Comments,Latitude,Longitude,Distance_to_core
02/08/2017,1,40,1,2,Bumble Bee,James,NA,43.651374,-79.405525,2.09634395245024
02/08/2017,1,57,1,4,Bumble Bee,Simon,NA,43.651374,-79.405525,2.09634395245024
02/08/2017,1,57,2,1,Honey Bee,Simon,NA,43.651374,-79.405525,2.09634395245024
02/08/2017,1,57,3,13,Syrphid,Simon,NA,43.651374,-79.405525,2.09634395245024
02/08/2017,1,57,4,3,Syrphid,Simon,NA,43.651374,-79.405525,2.09634395245024
02/08/2017,2,19,1,2,Bumble Bee,James,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,19,2,1,Bumble Bee,James,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,19,3,1,Bumble Bee,James,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,19,4,1,Bumble Bee,James,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,19,5,2,Bumble Bee,James,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,32,1,6,Bumble Bee,Simon,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,32,2,21,Bumble Bee,Simon,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,2,32,3,4,Syrphid,Simon,NA,43.663683,-79.411443,2.643358115446909
02/08/2017,3,47,1,5,Sweat Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,2,10,Sweat Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,3,17,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,4,5,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,5,2,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,6,5,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,7,1,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,8,3,Bumble Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,9,1,Sweat Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,10,1,Sweat Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,47,11,11,Sweat Bee,James,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,1,6,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,2,5,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,3,5,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,4,6,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,5,1,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,6,7,Bumble Bee,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,7,10,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,8,6,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,3,53,9,8,Syrphid,Simon,NA,43.683698,-79.421095,4.492586326551475
02/08/2017,4,38,1,26,Bumble Bee,James,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,4,38,2,9,Bumble Bee,James,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,4,81,1,1,Bumble Bee,Simon,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,4,81,2,2,Syrphid,Simon,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,4,81,3,12,Bumble Bee,Simon,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,4,81,4,1,Syrphid,Simon,NA,43.704239,-79.4265,6.515807621583965
02/08/2017,5,34,1,2,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,2,2,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,3,1,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,4,1,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,5,4,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,6,3,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,7,8,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,8,2,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,9,3,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,10,15,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,11,9,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,12,6,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,34,13,4,Bumble Bee,James,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,21,1,3,Bumble Bee,Simon,NA,43.722385,-79.426597,8.257243194042573
02/08/2017,5,21,2,3,Syrphid,Simon,NA,43.722385,-79.426597,8.257243194042573
