"","Population","Individual","Num.Flwrs","Num.Seeds","Comments"
"198",11,1,45,51,NA
"199",11,2,36,116,NA
"200",11,3,57,282,NA
"201",11,4,58,132,NA
"202",11,5,18,24,NA
"203",11,6,16,31,NA
"204",11,7,37,92,NA
"205",11,8,13,0,NA
"206",11,9,28,137,NA
"207",11,10,43,85,NA
"208",11,11,40,107,NA
"209",11,12,27,73,NA
"210",11,13,20,67,NA
"211",11,14,22,11,NA
"212",11,15,47,107,NA
"213",11,16,43,58,NA
"214",11,17,16,17,NA
"215",11,18,33,68,NA
"216",11,19,44,117,NA
"217",11,20,21,31,NA
"218",12,1,28,28,NA
"219",12,2,16,26,NA
"220",12,3,24,24,NA
"221",12,4,25,15,NA
"222",12,5,21,26,NA
"223",12,6,16,26,NA
"224",12,7,31,47,NA
"225",12,8,37,64,NA
"226",12,9,8,20,NA
"227",12,10,36,81,NA
"228",12,11,20,23,NA
"229",12,12,17,20,NA
"230",12,13,24,17,NA
"231",12,14,28,17,NA
"232",12,15,26,38,NA
"233",12,16,25,14,NA
"234",12,17,18,29,NA
"235",12,18,17,27,NA
"236",12,19,16,12,NA
"237",12,20,8,7,NA
"238",13,1,6,10,NA
"239",13,2,26,27,NA
"240",13,3,55,111,NA
"241",13,4,41,14,NA
"242",13,5,50,80,NA
"243",13,6,58,48,NA
"244",13,7,51,47,NA
"245",13,8,42,58,NA
"246",13,9,16,5,NA
"247",13,10,25,10,NA
"248",13,11,61,63,NA
"249",13,12,36,7,NA
"250",13,13,34,27,NA
"251",13,14,24,6,NA
"252",13,15,17,2,NA
"253",13,16,23,21,NA
"254",13,17,50,40,NA
"255",13,18,13,0,NA
"256",13,19,19,7,NA
"257",13,20,39,12,NA
"258",14,1,32,108,NA
"259",14,2,57,128,NA
"260",14,3,44,104,NA
"261",14,4,38,37,NA
"262",14,5,51,102,NA
"263",14,6,50,40,NA
"264",14,7,48,143,NA
"265",14,8,56,151,NA
"266",14,9,39,134,NA
"267",14,10,39,85,NA
"268",14,11,34,44,NA
"269",14,12,74,164,NA
"270",14,13,47,122,NA
"271",14,14,31,58,NA
"272",14,15,79,178,NA
"273",14,16,36,71,NA
"274",14,17,50,145,NA
"275",14,18,52,219,NA
"276",14,19,58,91,NA
"277",14,20,33,69,NA
"278",15,1,35,22,NA
"279",15,2,30,21,NA
"280",15,3,43,17,NA
"281",15,4,27,32,NA
"282",15,5,67,50,NA
"283",15,6,66,81,NA
"284",15,7,21,26,NA
"285",15,8,32,13,NA
"286",15,9,17,10,NA
"287",15,10,17,10,NA
"288",15,11,20,8,NA
"289",15,12,46,30,NA
"290",15,13,29,28,NA
"291",15,14,41,26,NA
"292",15,15,21,2,NA
"293",15,16,22,37,NA
"294",15,17,29,41,NA
"295",15,18,21,18,NA
"296",15,19,61,52,NA
"297",16,1,48,65,NA
"298",16,2,37,48,NA
"299",16,3,34,47,NA
"300",16,4,45,51,NA
"301",16,5,29,19,NA
"302",16,6,17,15,NA
"303",16,7,27,19,NA
"304",16,8,25,19,NA
"305",16,9,21,15,NA
"306",16,10,51,21,NA
"307",16,11,42,29,NA
"308",16,12,32,65,NA
"309",16,13,48,59,NA
"310",16,14,36,11,NA
"311",16,15,32,25,NA
"312",16,16,27,5,NA
"313",16,17,25,15,NA
"314",16,18,39,6,NA
"315",16,19,37,25,NA
"316",16,20,67,60,NA
"317",17,1,50,107,NA
"318",17,2,28,47,NA
