Population,maternal_plant,Family_ID,seeds,Date_planted,Germination_time,Time_to_germination,Is.germinated
8,11,7,3,2017-04-26,2017-04-29,3,1
8,11,7,4,2017-04-26,2017-05-02,6,1
8,11,7,5,2017-04-26,2017-05-08,12,1
8,2,8,1,2017-04-26,2017-04-30,4,1
8,2,8,2,2017-04-26,2017-04-28,2,1
8,2,8,3,2017-04-26,2017-04-29,3,1
8,2,8,4,2017-04-26,2017-04-29,3,1
8,2,8,5,2017-04-26,2017-04-29,3,1
9,2,1,1,2017-04-26,2017-05-07,11,1
9,2,1,3,2017-04-26,2017-04-29,3,1
9,2,1,5,2017-04-26,2017-05-04,8,1
9,5,2,2,2017-04-26,2017-04-30,4,1
9,5,2,3,2017-04-26,2017-05-02,6,1
9,5,2,4,2017-04-26,2017-04-30,4,1
9,5,2,5,2017-04-26,2017-05-04,8,1
9,1,3,1,2017-04-26,2017-04-30,4,1
9,1,3,2,2017-04-26,2017-05-01,5,1
9,1,3,3,2017-04-26,2017-04-30,4,1
9,1,3,5,2017-04-26,2017-05-04,8,1
9,14,4,2,2017-04-26,2017-05-01,5,1
9,14,4,4,2017-04-26,2017-05-04,8,1
9,8,5,3,2017-04-26,2017-04-30,4,1
9,8,5,5,2017-04-26,2017-05-04,8,1
9,11,6,1,2017-04-26,2017-05-04,8,1
9,11,6,2,2017-04-26,2017-05-02,6,1
9,3,7,1,2017-04-26,2017-04-30,4,1
9,3,7,4,2017-04-26,2017-04-30,4,1
9,15,8,1,2017-04-26,2017-05-02,6,1
9,15,8,3,2017-04-26,2017-05-04,8,1
9,15,8,5,2017-04-26,2017-05-02,6,1
10,14,1,1,2017-04-26,2017-05-04,8,1
10,14,1,2,2017-04-26,2017-05-02,6,1
10,14,1,4,2017-04-26,2017-05-02,6,1
10,14,1,5,2017-04-26,2017-05-04,8,1
10,4,2,2,2017-04-26,2017-04-30,4,1
10,4,2,3,2017-04-26,2017-05-08,12,1
10,4,2,4,2017-04-26,2017-04-30,4,1
10,4,2,5,2017-04-26,2017-05-04,8,1
10,11,3,2,2017-04-26,2017-05-01,5,1
10,11,3,3,2017-04-26,2017-04-30,4,1
10,11,3,5,2017-04-26,2017-04-30,4,1
10,8,4,2,2017-04-26,2017-04-30,4,1
10,8,4,3,2017-04-26,2017-04-29,3,1
10,8,4,4,2017-04-26,2017-04-30,4,1
10,8,4,5,2017-04-26,2017-04-30,4,1
10,6,5,3,2017-04-26,2017-04-29,3,1
10,6,5,4,2017-04-26,2017-04-29,3,1
10,3,6,1,2017-04-26,2017-04-30,4,1
10,3,6,2,2017-04-26,2017-04-29,3,1
10,3,6,4,2017-04-26,2017-05-01,5,1
10,3,6,5,2017-04-26,2017-04-30,4,1
10,2,7,1,2017-04-26,2017-04-30,4,1
10,2,7,3,2017-04-26,2017-04-30,4,1
10,2,7,4,2017-04-26,2017-04-30,4,1
10,5,8,2,2017-04-26,2017-05-04,8,1
10,5,8,3,2017-04-26,2017-05-04,8,1
10,5,8,4,2017-04-26,2017-05-04,8,1
10,5,8,5,2017-04-26,2017-04-30,4,1
11,1,1,1,2017-04-26,2017-05-01,5,1
11,1,1,2,2017-04-26,2017-04-30,4,1
11,1,1,3,2017-04-26,2017-04-30,4,1
11,1,1,4,2017-04-26,2017-04-30,4,1
11,1,1,5,2017-04-26,2017-04-30,4,1
11,12,2,1,2017-04-26,2017-04-30,4,1
11,12,2,2,2017-04-26,2017-04-30,4,1
11,12,2,3,2017-04-26,2017-04-30,4,1
11,12,2,4,2017-04-26,2017-05-01,5,1
11,12,2,5,2017-04-26,2017-04-30,4,1
11,8,3,2,2017-04-26,2017-04-30,4,1
11,8,3,3,2017-04-26,2017-04-30,4,1
11,8,3,4,2017-04-26,2017-04-30,4,1
11,8,3,5,2017-04-26,2017-05-02,6,1
11,3,4,1,2017-04-26,2017-04-30,4,1
11,3,4,2,2017-04-26,2017-04-30,4,1
11,3,4,4,2017-04-26,2017-04-30,4,1
11,11,5,1,2017-04-26,2017-05-02,6,1
11,11,5,2,2017-04-26,2017-04-30,4,1
11,11,5,3,2017-04-26,2017-05-02,6,1
11,11,5,4,2017-04-26,2017-04-30,4,1
11,9,6,1,2017-04-26,2017-04-30,4,1
11,9,6,2,2017-04-26,2017-05-04,8,1
11,9,6,3,2017-04-26,2017-04-30,4,1
11,9,6,4,2017-04-26,2017-05-07,11,1
11,9,6,5,2017-04-26,2017-05-01,5,1
11,14,7,1,2017-04-26,2017-04-30,4,1
11,14,7,2,2017-04-26,2017-05-04,8,1
11,14,7,3,2017-04-26,2017-05-04,8,1
11,14,7,4,2017-04-26,2017-04-30,4,1
11,2,8,1,2017-04-26,2017-04-30,4,1
11,2,8,3,2017-04-26,2017-05-15,19,1
11,2,8,5,2017-04-26,2017-04-29,3,1
12,11,1,1,2017-04-26,2017-04-30,4,1
12,11,1,2,2017-04-26,2017-04-30,4,1
12,11,1,4,2017-04-26,2017-04-30,4,1
12,11,1,5,2017-04-26,2017-04-30,4,1
12,8,2,1,2017-04-26,2017-04-30,4,1
12,8,2,2,2017-04-26,2017-04-30,4,1
12,8,2,3,2017-04-26,2017-04-30,4,1
12,8,2,4,2017-04-26,2017-04-30,4,1
12,8,2,5,2017-04-26,2017-05-01,5,1
12,1,3,1,2017-04-26,2017-05-01,5,1
12,1,3,3,2017-04-26,2017-04-30,4,1
12,1,3,4,2017-04-26,2017-04-30,4,1
12,1,3,5,2017-04-26,2017-04-30,4,1
12,5,4,1,2017-04-26,2017-05-05,9,1
12,5,4,3,2017-04-26,2017-05-01,5,1
12,5,4,4,2017-04-26,2017-05-04,8,1
12,5,4,5,2017-04-26,2017-05-04,8,1
12,7,5,2,2017-04-26,2017-05-04,8,1
12,7,5,5,2017-04-26,2017-04-30,4,1
12,4,6,1,2017-04-26,2017-05-04,8,1
12,4,6,3,2017-04-26,2017-05-01,5,1
12,4,6,4,2017-04-26,2017-05-04,8,1
12,4,6,5,2017-04-26,2017-04-30,4,1
12,3,7,2,2017-04-26,2017-04-30,4,1
12,3,7,3,2017-04-26,2017-04-30,4,1
12,3,7,4,2017-04-26,2017-04-30,4,1
12,3,7,5,2017-04-26,2017-05-01,5,1
12,6,8,1,2017-04-26,2017-04-30,4,1
12,6,8,2,2017-04-26,2017-05-01,5,1
12,6,8,3,2017-04-26,2017-04-30,4,1
12,6,8,4,2017-04-26,2017-04-30,4,1
12,6,8,5,2017-04-26,2017-04-30,4,1
13,1,1,1,2017-04-26,2017-05-01,5,1
13,1,1,2,2017-04-26,2017-05-02,6,1
13,1,1,4,2017-04-26,2017-05-04,8,1
13,2,2,1,2017-04-26,2017-04-30,4,1
13,2,2,2,2017-04-26,2017-05-04,8,1
13,2,2,3,2017-04-26,2017-04-30,4,1
13,2,2,4,2017-04-26,2017-05-02,6,1
13,2,2,5,2017-04-26,2017-05-04,8,1
13,4,3,1,2017-04-26,2017-05-04,8,1
13,4,3,4,2017-04-26,2017-04-30,4,1
13,4,3,5,2017-04-26,2017-05-04,8,1
13,5,4,1,2017-04-26,2017-04-30,4,1
13,5,4,3,2017-04-26,2017-04-30,4,1
13,5,4,4,2017-04-26,2017-04-30,4,1
13,5,4,5,2017-04-26,2017-05-04,8,1
13,6,5,1,2017-04-26,2017-04-30,4,1
13,6,5,2,2017-04-26,2017-05-01,5,1
13,6,5,3,2017-04-26,2017-05-04,8,1
13,6,5,4,2017-04-26,2017-04-30,4,1
13,6,5,5,2017-04-26,2017-05-02,6,1
13,7,6,1,2017-04-26,2017-04-30,4,1
13,7,6,2,2017-04-26,2017-04-30,4,1
13,7,6,3,2017-04-26,2017-04-30,4,1
13,7,6,4,2017-04-26,2017-05-01,5,1
13,8,7,1,2017-04-26,2017-04-30,4,1
13,8,7,2,2017-04-26,2017-05-01,5,1
13,8,7,5,2017-04-26,2017-04-30,4,1
13,14,8,1,2017-04-26,2017-05-02,6,1
13,14,8,2,2017-04-26,2017-04-30,4,1
13,14,8,3,2017-04-26,2017-04-30,4,1
13,14,8,5,2017-04-26,2017-05-01,5,1
14,2,1,1,2017-04-26,2017-04-30,4,1
14,2,1,2,2017-04-26,2017-05-01,5,1
14,2,1,4,2017-04-26,2017-04-30,4,1
14,2,1,5,2017-04-26,2017-04-30,4,1
14,1,2,1,2017-04-26,2017-05-01,5,1
14,1,2,2,2017-04-26,2017-04-30,4,1
14,1,2,3,2017-04-26,2017-04-30,4,1
14,1,2,4,2017-04-26,2017-04-30,4,1
14,1,2,5,2017-04-26,2017-05-01,5,1
14,7,3,1,2017-04-26,2017-04-29,3,1
14,7,3,2,2017-04-26,2017-04-30,4,1
14,7,3,3,2017-04-26,2017-04-30,4,1
14,7,3,4,2017-04-26,2017-04-30,4,1
14,7,3,5,2017-04-26,2017-04-30,4,1
14,13,4,1,2017-04-26,2017-05-01,5,1
14,13,4,2,2017-04-26,2017-04-30,4,1
14,13,4,3,2017-04-26,2017-05-01,5,1
14,13,4,4,2017-04-26,2017-04-30,4,1
14,13,4,5,2017-04-26,2017-05-01,5,1
14,9,5,1,2017-04-26,2017-04-30,4,1
14,9,5,3,2017-04-26,2017-05-02,6,1
14,9,5,4,2017-04-26,2017-05-04,8,1
14,9,5,5,2017-04-26,2017-05-01,5,1
14,10,6,1,2017-04-26,2017-05-01,5,1
14,10,6,2,2017-04-26,2017-05-01,5,1
14,10,6,3,2017-04-26,2017-05-01,5,1
14,10,6,4,2017-04-26,2017-05-01,5,1
14,4,7,1,2017-04-26,2017-04-29,3,1
14,4,7,2,2017-04-26,2017-04-30,4,1
14,4,7,3,2017-04-26,2017-04-29,3,1
14,4,7,4,2017-04-26,2017-04-29,3,1
14,12,8,1,2017-04-26,2017-04-30,4,1
14,12,8,3,2017-04-26,2017-04-29,3,1
14,12,8,4,2017-04-26,2017-04-29,3,1
14,12,8,5,2017-04-26,2017-04-29,3,1
15,1,1,1,2017-04-26,2017-04-30,4,1
15,1,1,2,2017-04-26,2017-04-30,4,1
15,1,1,3,2017-04-26,2017-04-29,3,1
15,1,1,4,2017-04-26,2017-04-30,4,1
15,4,2,1,2017-04-26,2017-04-29,3,1
15,4,2,2,2017-04-26,2017-04-29,3,1
15,4,2,3,2017-04-26,2017-05-02,6,1
15,4,2,4,2017-04-26,2017-04-29,3,1
15,4,2,5,2017-04-26,2017-04-29,3,1
15,5,3,1,2017-04-26,2017-04-29,3,1
15,5,3,2,2017-04-26,2017-04-30,4,1
15,5,3,3,2017-04-26,2017-04-30,4,1
15,5,3,4,2017-04-26,2017-04-29,3,1
15,5,3,5,2017-04-26,2017-04-29,3,1
15,6,4,1,2017-04-26,2017-04-29,3,1
15,6,4,2,2017-04-26,2017-04-30,4,1
15,6,4,3,2017-04-26,2017-04-29,3,1
15,6,4,5,2017-04-26,2017-04-29,3,1
15,8,5,1,2017-04-26,2017-04-30,4,1
15,8,5,2,2017-04-26,2017-05-01,5,1
15,8,5,3,2017-04-26,2017-04-30,4,1
15,8,5,4,2017-04-26,2017-04-30,4,1
15,8,5,5,2017-04-26,2017-04-30,4,1
15,9,6,1,2017-04-26,2017-04-29,3,1
15,9,6,2,2017-04-26,2017-04-30,4,1
15,9,6,3,2017-04-26,2017-04-29,3,1
15,12,7,1,2017-04-26,2017-04-30,4,1
15,12,7,2,2017-04-26,2017-04-30,4,1
15,12,7,3,2017-04-26,2017-04-30,4,1
15,12,7,5,2017-04-26,2017-04-30,4,1
16,5,1,1,2017-04-26,2017-04-30,4,1
16,5,1,2,2017-04-26,2017-04-30,4,1
16,5,1,3,2017-04-26,2017-04-30,4,1
16,5,1,4,2017-04-26,2017-04-30,4,1
16,5,1,5,2017-04-26,2017-05-04,8,1
16,7,2,1,2017-04-26,2017-04-29,3,1
16,7,2,2,2017-04-26,2017-04-29,3,1
16,7,2,3,2017-04-26,2017-05-02,6,1
16,7,2,4,2017-04-26,2017-05-02,6,1
16,6,3,1,2017-04-26,2017-04-30,4,1
16,6,3,3,2017-04-26,2017-04-30,4,1
16,6,3,4,2017-04-26,2017-04-30,4,1
16,6,3,5,2017-04-26,2017-04-30,4,1
16,8,4,1,2017-04-26,2017-04-30,4,1
16,8,4,2,2017-04-26,2017-04-30,4,1
16,8,4,3,2017-04-26,2017-04-29,3,1
16,8,4,4,2017-04-26,2017-05-04,8,1
16,8,4,5,2017-04-26,2017-04-29,3,1
16,11,5,1,2017-04-26,2017-04-30,4,1
16,11,5,2,2017-04-26,2017-04-29,3,1
16,11,5,3,2017-04-26,2017-04-30,4,1
16,11,5,4,2017-04-26,2017-04-29,3,1
16,11,5,5,2017-04-26,2017-05-01,5,1
16,2,6,1,2017-04-26,2017-04-29,3,1
16,2,6,2,2017-04-26,2017-04-29,3,1
16,2,6,3,2017-04-26,2017-04-30,4,1
16,2,6,4,2017-04-26,2017-04-30,4,1
16,2,6,5,2017-04-26,2017-04-30,4,1
16,4,7,1,2017-04-26,2017-04-29,3,1
16,4,7,2,2017-04-26,2017-04-29,3,1
16,4,7,3,2017-04-26,2017-04-30,4,1
16,4,7,4,2017-04-26,2017-04-28,2,1
16,4,7,5,2017-04-26,2017-04-29,3,1
16,14,8,1,2017-04-26,2017-04-29,3,1
16,14,8,2,2017-04-26,2017-04-30,4,1
16,14,8,3,2017-04-26,2017-04-29,3,1
16,14,8,4,2017-04-26,2017-04-29,3,1
16,14,8,5,2017-04-26,2017-04-29,3,1
17,4,1,2,2017-04-26,2017-04-29,3,1
17,4,1,3,2017-04-26,2017-04-29,3,1
17,4,1,4,2017-04-26,2017-04-29,3,1
17,4,1,5,2017-04-26,2017-04-29,3,1
17,14,2,1,2017-04-26,2017-04-30,4,1
17,14,2,2,2017-04-26,2017-04-30,4,1
17,14,2,3,2017-04-26,2017-04-29,3,1
17,14,2,4,2017-04-26,2017-04-29,3,1
17,14,2,5,2017-04-26,2017-04-30,4,1
17,6,3,1,2017-04-26,2017-04-30,4,1
17,6,3,2,2017-04-26,2017-04-30,4,1
17,6,3,3,2017-04-26,2017-04-29,3,1
17,6,3,4,2017-04-26,2017-04-29,3,1
17,6,3,5,2017-04-26,2017-04-30,4,1
17,1,4,1,2017-04-26,2017-04-29,3,1
17,1,4,2,2017-04-26,2017-04-30,4,1
17,1,4,3,2017-04-26,2017-04-30,4,1
17,1,4,4,2017-04-26,2017-04-30,4,1
17,1,4,5,2017-04-26,2017-04-30,4,1
17,5,5,1,2017-04-26,2017-04-30,4,1
17,5,5,2,2017-04-26,2017-04-30,4,1
17,5,5,3,2017-04-26,2017-04-29,3,1
17,5,5,4,2017-04-26,2017-04-30,4,1
17,5,5,5,2017-04-26,2017-04-30,4,1
17,10,6,1,2017-04-26,2017-04-29,3,1
17,10,6,2,2017-04-26,2017-04-30,4,1
17,10,6,3,2017-04-26,2017-04-29,3,1
17,10,6,4,2017-04-26,2017-04-29,3,1
17,10,6,5,2017-04-26,2017-04-29,3,1
17,9,7,1,2017-04-26,2017-04-30,4,1
17,9,7,2,2017-04-26,2017-04-30,4,1
17,9,7,3,2017-04-26,2017-04-30,4,1
17,9,7,4,2017-04-26,2017-04-30,4,1
17,9,7,5,2017-04-26,2017-04-30,4,1
17,13,8,1,2017-04-26,2017-04-29,3,1
