Family,Population,Latitude,Longitude,gmis,Distance_to_core,Distance_to_cg,num_plants,Time_to_germination,Days_to_flower,Num_Inf,Reprod_biomass,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_peducle_lgth,Avg_num_flwrs,Avg_leaf_wdth,Avg_leaf_lgth,Avg_petiole_lgth,Avg_stolon_thick,Avg_seeds_per_flower,sex_asex,n_HCN,total_plants,freqHCN,Time_to_germination_C,Days_to_flower_C,Num_Inf_C,Reprod_biomass_C,Veget_biomass_C,Avg_bnr_wdth_C,Avg_bnr_lgth_C,Avg_petiole_lgth_C,Avg_peducle_lgth_C,Avg_num_flwrs_C,Avg_leaf_wdth_C,Avg_leaf_lgth_C,Avg_stolon_thick_C,freqHCN_C
1_1,1,43.651374,-79.405525,85,2.09634395245024,23.59696534330296,3,7,64,11,0.7855333333333334,3.842733333333334,3.5891666666666664,6.6675,87.60333333333332,38.5,8.887777777777778,10.053333333333333,391.1111111111111,1.2633333333333334,2.2346287857913643,0.2044204645998508,0,3,0,1.4293893129770991,1.0296923858139349,0.5196658287742126,0.47997780657304695,1.0531722429014607,1.006843874858416,1.0745376244513458,0.8772328665455752,0.8542863848874402,0.8351592356687898,0.8048557923111522,0.7972356645674511,0.9164733200639101,0
1_2,1,43.651374,-79.405525,85,2.09634395245024,23.59696534330296,3,14.333333333333334,64.33333333333333,11.333333333333334,0.8748000000000001,3.9244000000000003,3.5927777777777776,6.122777777777777,115.47555555555554,46.25,10.70111111111111,11.657777777777778,425.55555555555554,1.2449999999999999,2.7870833333333334,0.2229130567730099,0,3,0,2.926844783715013,1.035055366990049,0.5354132781310069,0.5345216649284157,1.0755545054845923,1.007856874655116,0.986749919516584,0.9544891701333957,1.1260895121771355,1.003275705186533,0.9690669003311297,0.9244691194343168,0.9031735753136422,0
1_3,1,43.651374,-79.405525,85,2.09634395245024,23.59696534330296,2,9,66,2,0.08240000000000025,5.0094,2.6566666666666667,3.7583333333333333,35.86,5.25,10.646666666666667,11.836666666666666,466.66666666666663,1.165,2.9947368421052634,0.016449075737613335,1,2,0.5,1.8377862595419847,1.0618702728706202,0.09448469614076592,0.05034817694341744,1.3729188512319124,0.745256158125988,0.6056948739252056,1.0466983066736977,0.34969799203299273,0.11388535031847133,0.9641365423084711,0.9386551209811071,0.8451383254942917,1.9825072886297377
1_4,1,43.651374,-79.405525,85,2.09634395245024,23.59696534330296,2,9,66,3,0.14280000000000026,1.0954000000000002,3.3233333333333333,5.394166666666667,68.85166666666666,30.75,11.121666666666666,12.218333333333334,458.33333333333337,1.1549999999999998,NaN,0.13036333759357335,0,2,0,1.8377862595419847,1.0618702728706202,0.14172704421114887,0.0872538794601942,0.3002146583701515,0.9322715052090464,0.8693265895605001,1.028007265483096,0.6714246955230974,0.6670427661510463,1.0071514005673805,0.968921528007955,0.8378839192668729,0
1_5,1,43.651374,-79.405525,85,2.09634395245024,23.59696534330296,3,7.666666666666667,66.66666666666667,10,0.8558000000000003,2.886066666666667,3.691666666666667,5.976666666666667,110.67444444444445,49,9.856666666666666,11.971111111111112,445.55555555555554,1.2033333333333334,NaN,0.2965281467279574,0,3,0,1.5655216284987277,1.0725962352228489,0.47242348070382967,0.5229122551963171,0.7909800240704904,1.0355974844724363,0.9632025799981319,0.99934766899084,1.0792702451642282,1.0629299363057325,0.8925960412041793,0.9493166500939124,0.8729468826993971,0
1_6,1,43.651374,-79.405525,85,2.09634395245024,23.59696534330296,4,6,64,17,1.2890500000000003,4.6999,3.9891666666666667,6.345833333333333,107.27041666666666,46.5,11.0825,12.4525,351.6666666666667,1.3050000000000002,3.7734604105571847,0.2742717930168727,0,4,0,1.2251908396946565,1.0296923858139349,0.8031199171965104,0.7876373481664086,1.2880946438505338,1.119053083108251,1.0226976640666166,0.7887619382433937,1.0460749947818129,1.0086988171064604,1.003604561377611,0.9874910921445145,0.9467000126781552,0
1_7,1,43.651374,-79.405525,85,2.09634395245024,23.59696534330296,3,6.666666666666667,64,3,0.3338666666666669,3.5740666666666665,3.3383333333333334,6.3116666666666665,96.95583333333335,24.833333333333332,9.447777777777777,10.487777777777778,350,1.1616666666666666,3.037337662337662,0.09341366510604175,2,3,0.6666666666666666,1.361323155216285,1.0296923858139349,0.1417270442111489,0.20399973311701777,0.9795391668116481,0.9364793505184152,1.0171913470309328,0.7850237300052734,0.9454896885820462,0.5386957840461025,0.8555680462584982,0.8316873826096565,0.8427201900851522,2.6433430515063168
1_8,1,43.651374,-79.405525,85,2.09634395245024,23.59696534330296,2,6.5,60.5,18,1.1218000000000001,4.7184,3.6216666666666666,6.013333333333334,101.02499999999999,33.75,10.106666666666667,13.146666666666668,573.3333333333333,1.1725,2.6041666666666665,0.23775008477449985,0,2,0,1.327290076335878,0.9733810834647352,0.8503622652668934,0.6854439914456981,1.2931649114969168,1.015960873028715,0.9691117982803289,1.2859436339134,0.9851712115207218,0.7321201091901728,0.9152354402878162,1.0425389459728207,0.850579130164856,0
10_1,10,43.686228,-79.561726,67,14.971521867180057,17.24331936210088,3,7.333333333333333,68,21,1.4998000000000002,4.742733333333334,3.803888888888889,6.541666666666666,105.84666666666666,59.5,10.575555555555555,11.603333333333333,482.22222222222223,1.3666666666666667,2.7919180403313533,0.31623114659619633,1,3,0.3333333333333333,1.4974554707379135,1.0940481599273058,0.9920893094780422,0.9164101429579766,1.299833912184952,1.0670784012314178,1.0542582617101692,1.0815882502294878,1.0321909313083892,1.2907006369426752,0.95769689101357,0.9201516407026848,0.9914355177472378,1.3216715257531584
10_2,10,43.686228,-79.561726,67,14.971521867180057,17.24331936210088,3,5.333333333333333,63,36.333333333333336,2.1261333333333337,3.6170666666666667,4.127777777777777,6.814444444444445,90.87111111111112,50.666666666666664,11.236666666666666,13.913333333333332,462.22222222222223,1.3900000000000001,2.5902303278253016,0.5878059569448542,0,3,0,1.089058524173028,1.0136034422855922,1.716471979890581,1.2991133164073336,0.9913241132329703,1.1579366906892703,1.0982192643853026,1.0367297513720435,0.8861529584317493,1.0990840157719137,1.0175655241458534,1.1033360954590652,1.0083624656112151,0
10_3,10,43.686228,-79.561726,67,14.971521867180057,17.24331936210088,3,4.333333333333333,65.33333333333333,31.333333333333332,3.0547999999999997,5.571733333333333,3.5949999999999998,6.421111111111111,100.19222222222223,67.25,12.204444444444444,13.252222222222223,463.3333333333333,1.3133333333333332,3.022548285048285,0.5482674451995788,0,3,0,0.8848600508905853,1.0511443105183917,1.4802602395386661,1.8665486762955235,1.52703671644719,1.0084802591453927,1.034829468267188,1.039221890197457,0.9770501653216538,1.4588171064604185,1.105205153487398,1.0509095680035356,0.9527453512010041,0
10_4,10,43.686228,-79.561726,67,14.971521867180057,17.24331936210088,3,3.6666666666666665,63,25.666666666666668,2.311466666666667,4.444400000000001,3.8200000000000003,6.831666666666667,114.52222222222223,70,11.477777777777778,12.885555555555555,335.55555555555554,1.3900000000000001,2.93474234534137,0.5200852008520085,0,3,0,0.7487277353689568,1.0136034422855922,1.2125536004731627,1.4123559797590328,1.218070136626165,1.0715979387859251,1.1009948063057284,0.7526259252748969,1.1167928375423115,1.5184713375796177,1.0393999668176275,1.0218326704231577,1.0083624656112151,0
10_5,10,43.686228,-79.561726,67,14.971521867180057,17.24331936210088,2,3,60.5,33.5,2.6598,3.4341999999999997,3.705,6.638333333333334,103.83666666666667,62.75,10.121666666666666,12.175,408.33333333333337,1.4475,2.390726350615994,0.7745035233824472,0,2,0,0.6125954198473282,0.9733810834647353,1.5826186603578292,1.625195158180841,0.9412061162815172,1.0393377914140975,1.069837109908689,0.9158610183394855,1.0125899005223793,1.3612010919017288,0.9165938042328343,0.9654851673848194,1.0500753014188733,0
10_6,10,43.686228,-79.561726,67,14.971521867180057,17.24331936210088,3,4,63.666666666666664,18,1.0921333333333334,3.6970666666666663,3.955,6.517777777777778,96.17777777777778,60.333333333333336,8.977777777777778,10.984444444444444,367.77777777777777,1.3399999999999999,3.088935549502287,0.29540536641661863,1,3,0.3333333333333333,0.816793893129771,1.0243294046378206,0.8503622652668934,0.6673170183552282,1.0132495949470584,1.1094685465702443,1.0504083164657076,0.8248979512118904,0.9379022801752448,1.308777676675766,0.8130059759812613,0.871073362059441,0.9720904344741209,1.3216715257531584
10_7,10,43.686228,-79.561726,67,14.971521867180057,17.24331936210088,3,4,68,18.666666666666668,1.0845333333333336,4.831733333333334,3.939166666666666,6.433333333333334,97.25666666666666,37.833333333333336,10.432222222222222,11.275555555555554,507.77777777777777,1.3283333333333334,NaN,0.22446051106573212,0,3,0,0.816793893129771,1.0940481599273058,0.881857163980482,0.6626732544623889,1.324226010591875,1.1050269320770214,1.0367992076945869,1.1389074432139996,0.9484233420288742,0.8206976038823172,0.9447169688722851,0.894158656502044,0.9636269605421324,0
10_8,10,43.686228,-79.561726,67,14.971521867180057,17.24331936210088,3,8,65.66666666666667,20,1.2424666666666668,2.437066666666667,3.5072222222222225,6.046666666666667,96.11666666666667,48.666666666666664,10.04111111111111,11.873333333333333,370,1.3883333333333332,2.2723044397463,0.5098205492942335,0,3,0,1.633587786259542,1.056507291694506,0.9448469614076592,0.759173926937272,0.6679232579501708,0.9838565717794567,0.9744838149005081,0.8298822288627175,0.9373063394935254,1.0556991204124961,0.9092988867503291,0.9415628107391449,1.0071533979066452,0
11_1,11,43.663863,-79.585551,65,16.533738844636368,14.156643177241694,4,4.25,65.5,26.5,1.8978000000000004,3.4674000000000005,3.4379166666666667,6.102083333333333,100.77333333333333,43,10.566666666666666,12.408333333333333,438.3333333333333,1.15625,2.5664680339985217,0.5473265270808099,3,4,0.75,0.8678435114503817,1.053825801106449,1.2519222238651486,1.1595967257672009,0.9503051911928639,0.9644147679889471,0.9834147925315561,0.9831487666256519,0.9827170194405499,0.9327752502274794,0.9568919346017073,0.9839886476632418,0.8387907200453003,2.9737609329446064
11_2,11,43.663863,-79.585551,65,16.533738844636368,14.156643177241694,3,4.333333333333333,67.33333333333333,30,1.442466666666667,3.5177333333333336,3.6216666666666666,6.153333333333333,84.39222222222222,53.333333333333336,9.766666666666666,11.37,271.11111111111114,1.26,3.6275808936825884,0.41005571769700194,1,3,0.3333333333333333,0.8848600508905853,1.0833221975750773,1.4172704421114888,0.8813782399067316,0.9640999734379777,1.015960873028715,0.9916742680850816,0.6080818734009101,0.8229724108843619,1.156930542917804,0.8844458575340702,0.9016481604242625,0.9140551846547704,1.3216715257531584
11_3,11,43.663863,-79.585551,65,16.533738844636368,14.156643177241694,3,4,65.66666666666667,17.666666666666668,1.1371333333333336,3.547733333333334,3.3649999999999998,5.7988888888888885,70.04444444444444,45.5,11.71,12.301111111111112,440,1.25,2.5242278428395863,0.3205239025856885,0,3,0,0.816793893129771,1.056507291694506,0.834614815910099,0.6948129887733566,0.9723220290807608,0.9439599644017376,0.9345518246905093,0.9868869748637722,0.6830563741017495,0.9870063694267516,1.0604294530775389,0.9754858579162524,0.9068007784273516,0
