Population,Latitude,Longitude,gmis,Distance_to_core,Num_Seeds,Num_Flowers,Seeds_per_flower
1,43.651374,-79.405525,85,2.09634395245024,42.1,27.35,1.38653210894133
10,43.686228,-79.561726,67,14.971521867180057,49.2,28.3,1.5905318924889522
11,43.663863,-79.585551,65,16.533738844636368,80.3,33.2,2.215911564893575
12,43.652785,-79.610406,79,18.51599892153233,28.05,22.05,1.2785892822780869
13,43.641963,-79.631233,0,20.25081019161363,29.75,34.3,0.7642766763700769
14,43.627471,-79.65002,0,21.936116076110327,109.65,47.4,2.301138029883251
15,43.616903,-79.669317,0,23.663587997705708,27.57894736842105,33.94736842105263,0.8029342848006658
16,43.61094,-79.688052,0,25.27159407214257,30.95,35.95,0.842117876639012
17,43.58858,-79.69878,0,26.712604213541383,42.35,36.45,1.0570183045927908
18,43.565262,-79.700181,0,27.663536159879555,17.9,23.05,0.7336661576512583
19,43.546982,-79.720703,0,29.97539430161768,18.4,24.55,0.7162933067454369
2,43.663683,-79.411443,47,2.643358115446909,94.95,56.9,1.6700090789703312
20,43.518649,-79.75084,0,33.52969169255897,19.95,25.1,0.7874059507755848
21,43.501561,-79.759063,77,35.016636139451414,10.75,24.2,0.4048657209756281
22,43.479071,-79.761802,56,36.4997112536466,26,34.65,0.7083045054627624
23,43.453719,-79.757534,25,37.82230438666279,36.25,28.15,1.1945389569641005
24,43.444847,-79.800063,43,41.184706639575694,68.7,41.75,1.6897259557703486
25,43.432349,-79.829473,48,43.92776371111732,43.05,41.25,1.0231368763637256
26,43.414687,-79.832589,55,45.27544397596537,21,37,0.5951082047052355
27,43.400155,-79.848595,6,47.27917025686753,15.85,33.1,0.43060522549580205
3,43.683698,-79.421095,37,4.492586326551475,67.3,49.95,1.3367161751664876
4,43.704239,-79.4265,70,6.515807621583965,23.789473684210527,27.57894736842105,0.9135510848244902
5,43.722385,-79.426597,92,8.257243194042573,35.35,27.95,1.133368355628532
6,43.713711000000004,-79.466545,52,9.440961875831535,19.75,23.45,0.8796074257513222
7,43.70646,-79.486262,36,10.19629667047448,17.65,27.65,0.6129838271274982
8,43.701041,-79.511142,67,11.648537370864588,46.73684210526316,28.36842105263158,1.6137978463234006
9,43.693306,-79.538379,60,13.369577165605406,26.95,27.2,0.945116784192535
