Population,Latitude,Longitude,Distance_to_core,Distance_to_cg,Num_Plants,Germination,Days_to_flower,Num_Inf,Reprod_biomass,Veget_biomass,Bnr_wdth,Bnr_lgth,Petiole_lgth,Peducle_lgth,Num_flwrs,Leaf_wdth,Leaf_lgth,Stolon_thick,Seeds_per_flower,Num_Cyano,FreqHCN
1,43.651374,-79.405525,2.09634395245024,23.59696534330296,22,8.181818181818182,64.42105263157895,10,0.7454636363636366,3.778536363636364,3.5900877192982454,6.011228070175439,420,97.48754385964912,35.3,10.216363636363637,11.669242424242425,1.2193181818181817,2.8094346409404056,3,0.13636363636363635
2,43.663683,-79.411443,2.643358115446909,23.877854402711133,22,5.7272727272727275,57.76190476190476,21.181818181818183,1.985627272727273,4.786763636363636,3.6616666666666666,6.67047619047619,492.42424242424244,96.78206349206349,50.357142857142854,11.659242424242423,13.970757575757576,1.5331818181818182,2.441919537740773,4,0.18181818181818182
3,43.683698,-79.421095,4.492586326551475,24.509794771746183,21,6.380952380952381,63.3,20.80952380952381,1.468619047619048,3.0816857142857144,3.47825,6.17825,342.6984126984127,95.96166666666667,43.39473684210526,10.233492063492063,11.879999999999999,1.2392857142857143,2.1399873154667306,3,0.14285714285714285
4,43.704239,-79.4265,6.515807621583965,25.638252065753385,25,5.56,65.54166666666667,19.96,1.4106880000000004,4.226,3.5785416666666667,6.255347222222222,389.73333333333335,84.85444444444444,39.833333333333336,10.815466666666666,12.3896,1.2848,2.5075459190662417,4,0.16
5,43.722385,-79.426597,8.257243194042573,27.02718186329092,26,4.423076923076923,68.68181818181819,18.307692307692307,1.3087846153846157,4.69163076923077,3.6229545454545455,6.136287878787879,373.46153846153845,105.37212121212121,41.80952380952381,11.136666666666667,12.683076923076923,1.3894230769230769,2.723997312822836,3,0.11538461538461539
6,43.713711000000004,-79.466545,9.440961875831535,24.136939503015775,27,5.518518518518518,56.592592592592595,26.51851851851852,2.0262555555555557,3.4646222222222223,3.603395061728395,6.232777777777778,410,98.29123456790123,48.98148148148148,10.505679012345679,11.878765432098765,1.2874074074074073,2.683497478987323,1,0.037037037037037035
7,43.70646,-79.486262,10.19629667047448,22.500341511520208,27,5.851851851851852,63.75,25.185185185185187,1.8261925925925928,4.461918518518519,3.7495833333333333,6.596666666666667,582.2222222222222,121.46069444444444,45.388888888888886,11.994938271604939,13.58716049382716,1.4224074074074073,2.4256732746672673,13,0.48148148148148145
8,43.701041,-79.511142,11.648537370864588,20.803590289148442,27,5.185185185185185,63.36,30.40740740740741,2.545851851851852,3.6905851851851854,3.6688666666666667,6.599933333333333,437.53086419753083,111.9804,54.75,11.88283950617284,13.269753086419753,1.4364814814814815,2.352400560224877,4,0.14814814814814814
9,43.693306,-79.538379,13.369577165605406,18.865829319561513,20,6.1,65.3157894736842,16.789473684210527,1.3870631578947372,4.359189473684211,3.8048245614035086,6.446666666666667,548.5964912280701,102.66859649122807,45.705882352941174,12.164561403508772,13.564561403508772,1.3726315789473684,2.107579917555476,0,0
10,43.686228,-79.561726,14.971521867180057,17.24331936210088,23,5.043478260869565,64.68181818181819,25.217391304347824,1.8501565217391305,4.125817391304348,3.8052272727272727,6.530151515151515,425.3623188405797,100.60757575757576,56.26190476190476,10.655652173913044,12.24840579710145,1.3671739130434784,2.7856744133269835,2,0.08695652173913043
11,43.663863,-79.585551,16.533738844636368,14.156643177241694,25,4.96,64.08333333333333,21.08,1.4309680000000002,3.3435040000000003,3.4809027777777777,6.050208333333333,379.06666666666666,95.19916666666667,43.96,10.2228,11.7828,1.2852000000000001,2.674003629637659,13,0.52
12,43.652785,-79.610406,18.51599892153233,12.238307389101594,23,5.043478260869565,64.5,18.52173913043478,1.4005521739130438,3.5168608695652175,3.361439393939394,5.924621212121212,471.30434782608694,97.27444444444444,47.388888888888886,12.090579710144928,13.376811594202898,1.488913043478261,2.739118795108575,8,0.34782608695652173
13,43.641963,-79.631233,20.25081019161363,10.596965947834507,25,5.24,58.333333333333336,20.16,1.446441666666667,3.248025,3.4732539682539683,6.0026190476190475,404.02777777777777,91.5160606060606,36.63636363636363,10.888333333333334,12.255277777777778,1.3666666666666667,2.5004172236561053,2,0.08
14,43.627471,-79.65002,21.936116076110327,8.739887353969236,24,4.25,60.041666666666664,24.625,1.953216666666667,3.2834000000000003,3.5388888888888888,6.1229861111111115,475.4166666666667,121.4161111111111,48.270833333333336,10.80888888888889,12.178055555555556,1.3127083333333334,2.3652149295476885,7,0.2916666666666667
15,43.616903,-79.669317,23.663587997705708,7.526631296860096,21,3.761904761904762,61.19047619047619,20.285714285714285,2.043371428571429,3.85652380952381,3.5657936507936507,6.243253968253969,420.7936507936508,112.0731746031746,56.45238095238095,10.923015873015872,12.214920634920635,1.3430952380952381,2.885162308174166,3,0.14285714285714285
16,43.61094,-79.688052,25.27159407214257,7.146088704825881,25,3.96,65.69565217391305,16.625,1.4231000000000003,3.725191666666667,3.601231884057971,6.185434782608696,493.19444444444446,115.19942028985507,51.43478260869565,12.284166666666668,14.468055555555555,1.5202083333333334,2.8631348723460692,21,0.84
17,43.58858,-79.69878,26.712604213541383,5.246219840707324,24,3.5833333333333335,64.3913043478261,22,1.7666416666666669,3.3783000000000003,3.5704347826086957,6.052463768115942,507.22222222222223,107.26217391304348,48.19565217391305,10.854027777777778,12.856388888888889,1.4054166666666665,2.541019141941147,7,0.2916666666666667
18,43.565262,-79.700181,27.663536159879555,3.5108454345102134,16,7,54.8,25.0625,2.1135625000000005,2.47115,3.3864444444444444,6.138222222222222,401.25,106.00533333333334,46.53125,10.02625,11.665,1.251875,2.440411729180366,3,0.1875
